Code,Area,Area_Zh,District,District_Zh,Region,Region_Zh,AUM,Lat,Long
SWH,Sai Wan Ho,西灣河,Eastern,東區,Hong Kong Island,港島,9137,22.2824738,114.2227035
WD4,Sai Ying Pun,西營盤,Central and Western,中西區,Hong Kong Island,港島,8282,22.2875634,114.1417059
SPK,San Po Kong,新蒲崗,Wong Tai Sin,黃大仙區,Kowloon,九龍,4603,22.3364426,114.1989259
SS1,Sha Tau Kok,沙頭角,North,北區,New Territories,新界,7507,22.531577,114.20324
SSP,Sham Shui Po,深水埗,Sham Shui Po,深水埗區,Kowloon,九龍,3528,22.3285899,114.1602846
NT2,Sham Tseng,深井,Tsuen Wan,荃灣區,New Territories,新界,9811,22.367102,114.058809
ST3,Shatin,沙田,Sha Tin,沙田區,New Territories,新界,6285,22.3771304,114.1974398
SKW,Shau Kei Wan,筲箕灣,Eastern,東區,Hong Kong Island,港島,5384,22.278746,114.2286476
SKM,Shek Kip Mei,石硤尾,Sham Shui Po,深水埗區,Kowloon,九龍,1150,22.3337786,114.1674019
NT4,Shek Kong,石崗,Yuen Long,元朗區,New Territories,新界,8775,22.429395,114.0785324
SD8,Shek O,石澳,Southern,南區,Hong Kong Island,港島,681,22.2334016,114.2420218
WD5,Shek Tong Tsui,石塘咀,Central and Western,中西區,Hong Kong Island,港島,8453,22.2863914,114.1338924
SS2,Sheung Shui,上水,North,北區,New Territories,新界,5415,22.5112008,114.1260991
SW,Sheung Wan,上環,Central and Western,中西區,Hong Kong Island,港島,5641,22.2863943,114.1491375
SL,Shun Lee,順利,Kwun Tong,觀塘區,Kowloon,九龍,3478,22.331559,114.226003
ST4,Siu Lek Yuen,小瀝源,Sha Tin,沙田區,New Territories,新界,2879,22.3822064,114.2182453
CW2,Siu Sai Wan,小西灣,Eastern,東區,Hong Kong Island,港島,7230,22.2615148,114.2494516
SD9,South Bay,南灣,Southern,南區,Hong Kong Island,港島,6646,22.2311777,114.1986995
SD10,Southern District,南區,Southern,南區,Hong Kong Island,港島,4463,22.2432164,114.1974398
SD11,Stanley, 赤柱,Southern,南區,Hong Kong Island,港島,4261,22.220422,114.2126685
ML2,Tai Hang,大坑,Wan Chai,灣仔區,Hong Kong Island,港島,655,22.2751881,114.1937244
TKT,Tai Kok Tsui,大角咀,Yau Tsim Mong,油尖旺區,Kowloon,九龍,1104,22.31975,114.1632571
NT5,Tai Lam Chung,大欖涌,Tuen Mun,屯門區,New Territories,新界,1443,22.3842445,114.0292614
TP,Tai Po,大埔,Tai Po,大埔區,New Territories,新界,1836,22.4423218,114.1655064
SD12,Tai Tam,大潭,Southern,南區,Hong Kong Island,港島,2712,22.2567774,114.2106427
ST5,Tai Wai,大圍,Sha Tin,沙田區,New Territories,新界,6284,22.375941,114.178626
NT6,Tap Shek Kok,踏石角,Tuen Mun,屯門區,New Territories,新界,8142,22.3870878,113.9619133
ML3,The Peak,山頂,Central and Western,中西區,Hong Kong Island,港島,2341,22.2758835,114.145532
NP3,Tin Hau,天后,Eastern,東區,Hong Kong Island,港島,3673,22.2823972,114.1922382
NT7,Tin Shui Wai,天水圍,Yuen Long,元朗區,New Territories,新界,5059,22.4606419,114.0041996
SD13,Tin Wan,田灣,Southern,南區,Hong Kong Island,港島,205,22.2503496,114.1476512
TKW,To Kwa Wan,土瓜灣,Kowloon City,九龍城區,Kowloon,九龍,8121,22.3173373,114.1879691
TKO,Tseung Kwan O,將軍澳,Sai Kung,西貢區,New Territories,新界,6769,22.3119357,114.2568776
TST1,Tsim Sha Tsui,尖沙咀,Yau Tsim Mong,油尖旺區,Kowloon,九龍,9291,22.3116028,114.1706884
TST2,Tsim Sha Tsui East,尖沙咀東,Yau Tsim Mong,油尖旺區,Kowloon,九龍,4854,22.3116028,114.1706884
NT8,Tsing Lung Tau,青龍頭,Tsuen Wan,荃灣區,New Territories,新界,2155,22.3631111,114.0473141
TY,Tsing Yi,青衣,Kwai Tsing,葵青區,New Territories,新界,2785,22.3474872,114.1023164
TW,Tsuen Wan,荃灣,Tsuen Wan,荃灣區,New Territories,新界,8692,22.3699122,114.1144306
TWS,Tsz Wan Shan,慈雲山,Wong Tai Sin,黃大仙區,Kowloon,九龍,6033,22.3515518,114.200412
NT9,Tuen Mun,屯門,Tuen Mun,屯門區,New Territories,新界,1582,22.3908295,113.9725126
CLK2,Tung Chung,東涌,Islands,離島區,New Territories,新界,3661,22.2873743,113.9425086
SD14,Wah Fu,華富,Southern,南區,Hong Kong Island,港島,8591,22.2524823,114.136434
WC,Wanchai,灣仔,Wan Chai,灣仔區,Hong Kong Island,港島,3737,22.276022,114.1751471
LF2,Wang Tau Hom,橫頭磡,Wong Tai Sin,黃大仙區,Kowloon,九龍,4604,22.3405302,114.1862935
WD6,Western District,西區,Central and Western,中西區,Hong Kong Island,港島,168,22.2730219,114.1498806
SD15,Wong Chuk Hang,黃竹坑,Southern,南區,Hong Kong Island,港島,7359,22.2459198,114.1664957
WTS,Wong Tai Sin,黃大仙,Wong Tai Sin,黃大仙區,Kowloon,九龍,2515,22.3429615,114.1929813
YMT,Yau Ma Tei,油麻地,Yau Tsim Mong,油尖旺區,Kowloon,九龍,2847,22.3068537,114.1714423
KT3,Yau Tong,油塘,Kwun Tong,觀塘區,Kowloon,九龍,5828,22.2940736,114.2375638
NT10,Yuen Long,元朗,Yuen Long,元朗區,New Territories,新界,5398,22.4445376,114.0222076
