Street,Full,Lat,Long
Cha Keo Ling Road,"Cha Kwo Ling Rd, Hong Kong",22.2991393,114.232866
Chai Wan Road,"Chai Wan Rd, Hong Kong",22.270687,114.2336149
Chak On Road,"Chak On Rd, Tai Woh Ping, Hong Kong",22.3404701,114.1640693
Chak On Road South,"Chak On Rd S, Pak Tin, Hong Kong",22.3385727,114.1656267
Chan Tong Lane,"Chan Tong Ln, Wan Chai, Hong Kong",22.2779072,114.1802632
Chancery Lane,"Chancery Ln, Central, Hong Kong",22.2806088,114.1539271
Chang Fa Avenue,"Chang Fa Ave, Choi Hung Estate, Hong Kong",22.3361912,114.2057148
Changsha Street,"Changsha St, Mong Kok, Hong Kong",22.3159539,114.1694128
Chater Road,"Chater Rd, Central, Hong Kong",22.2814513,114.1599193
Chatham Court,"Chatham Ct, Tsim Sha Tsui, Hong Kong",22.3017396,114.1759868
Chatham Path,"Chatham path, Hong Kong",22.2724774,114.1577508
Chatham Road North,"Chatham Rd N, Hong Kong",22.3094993,114.1841756
Chatham Road South,"Chatham Rd S, Hong Kong",22.3023478,114.1769598
Chengtu Road,"Chengtu Rd, Aberdeen, Hong Kong",22.2485297,114.1547815
Cheong Hang Lane,"Cheong Hang Ln, Hung Hom, Hong Kong",22.3066605,114.182573
Cheong Hang Road,"Cheong Hang Rd, Hung Hom, Hong Kong",22.3061167,114.1828581
Cheong Lok Street,"Cheong Lok St, Yau Ma Tei, Hong Kong",22.3065642,114.1720745
Cheong Ming Street,"Cheong Ming St, Happy Valley, Hong Kong",22.2684482,114.1867131
Cheong San Lane,"Cheong San Ln, Sham Shui Po, Hong Kong",22.3266392,114.1584956
Cheong Tung Road,"Cheong Tung Rd, Hung Hom, Hong Kong",22.3057277,114.1831084
Cheong Tung Road South,"Cheong Tung Rd S, Hung Hom, Hong Kong",22.3029877,114.1841702
Cheong Wan Road,"Cheong Wan Rd, Hong Kong",22.3035889,114.1814041
Cherry Street,"Cherry St, Hong Kong",22.3181703,114.1617391
Chester Road,"Chester Rd, Kowloon Tsai, Hong Kong",22.3292514,114.1791054
Cheung Fat Street,"Cheung Fat St, Hong Kong",22.3395525,114.1571286
Cheung Hang Road,"Cheung Hang Rd, Lai Chi Kok, Hong Kong",22.3432571,114.1426795
Cheung Hing Street,"Hing Wan St, Wan Chai, Hong Kong",22.2737246,114.174246
Cheung Hong Street,"Cheung Hong St, North Point, Hong Kong",22.2893111,114.1959562
Cheung Kan Lane,"Cheung Kan Ln, Sai Wan, Hong Kong",22.2868512,114.1327163
Cheung Lai Street,"Cheung Lai St, Cheung Sha Wan, Hong Kong",22.3363496,114.1481136
Cheung Lee Street,"Cheung Lee St, Chai Wan, Hong Kong",22.2652299,114.2356251
Cheung Man Road,"Cheung Man Rd, Hong Kong",22.2679842,114.2368331
Cheung Mou Street,"Cheung Mou St, Cheung Sha Wan, Hong Kong",22.3355311,114.1466807
Cheung Ning Street,"Cheung Ning St, To Kwa Wan, Hong Kong",22.3175508,114.1899087
Cheung On Lane,"Cheung Woo Ln, Wan Chai, Hong Kong",22.2770118,114.1807891
Cheung Sha Wan Path,"Cheung Sha Wan Rd, Hong Kong",22.3345978,114.1572377
Cheung Sha Wan Road,"Cheung Sha Wan Rd, Hong Kong",22.3345978,114.1572377
Cheung Shui Street,"18 Chak Cheung St, Ma Liu Shui, Hong Kong",22.4118468,114.2109985
Cheung Shun Street,"Cheung Shun St, Cheung Sha Wan, Hong Kong",22.3363403,114.1472568
Cheung Tak Lane,"Cheung Tak Ln, Wan Chai, Hong Kong",22.2760571,114.1801018
Cheung Wah Street,"Cheung Wah St, Hong Kong",22.3394985,114.153965
Cheung Wong Road,"Cheung Wong Rd, Mong Kok, Hong Kong",22.3198942,114.1663543
Cheung Woo Lane,"Cheung Woo Ln, Wan Chai, Hong Kong",22.2770118,114.1807891
Cheung Yee Street,"Cheung Yee St, Cheung Sha Wan, Hong Kong",22.3361026,114.1482024
Cheung Yip Street,"Cheung Yip St, Hong Kong",22.3167326,114.2116952
Cheung Yue Street,"Cheung Yue St, Cheung Sha Wan, Hong Kong",22.3372353,114.149973
Chi Fu Close,"Chi Fu Cl, Pok Fu Lam, Hong Kong",22.2566174,114.1385419
Chi Fu Road,"Chi Fu Rd, Pok Fu Lam, Hong Kong",22.2579259,114.1391691
Chi Kiang Street,"Chi Kiang St, Hong Kong",22.3148855,114.189521
Chi Lin Drive,"Chi Lin Dr, Hong Kong",22.3404973,114.2059383
Chi Man Street,"Chi Man St, No. 12 Hill, Hong Kong",22.311359,114.177695
Chi Shing Lane,"Chi Shing Rd, Clear Water Bay, Hong Kong",22.3020388,114.2953169
Chi Wo Street,"Chi Wo St, Yau Ma Tei, Hong Kong",22.3068606,114.1725653
Chico Terrace,"Chico Terrace, Mid-level, Hong Kong",22.2806492,114.151407
Ching Cheung Road,"Ching Cheung Rd, Hong Kong",22.3404748,114.1488388
Ching Fai Street,"Ching Fai St, Tsz Wan Shan, Hong Kong",22.3504779,114.2012247
Ching Lin Terrace,"Ching Lin Terrace, Sai Wan, Hong Kong",22.2828505,114.1315655
Ching Ping Street,"Ching Ping St, Yau Ma Tei, Hong Kong",22.3105431,114.1678037
Ching Road,"Pui Ching Rd, Hong Kong",22.3177941,114.1775822
Ching Sau Lane,"Ching Sau Ln, Chung Hom Kok, Hong Kong",22.2189763,114.2057635
Ching Shan Street,"Ching Shan St, Hung Hom, Hong Kong",22.3018324,114.184497
Ching Tak Street,"Ching Tak St, Chuk Un, Hong Kong",22.3392971,114.1928323
Ching Wah Street,"Ching Wah St, North Point, Hong Kong",22.2890214,114.198024
Ching Yeung Avenue,"Ching Yeung Ave, Ngau Chi Wan, Hong Kong",22.3360232,114.2060724
Chiu Kwong Street,"Chiu Kwong St, Sai Ying Pun, Hong Kong",22.2875049,114.1394476
Chiu Lung Street,"Chiu Lung St, Central, Hong Kong",22.2826022,114.156697
Cho Yuen Street,"Cho Yuen St, Yau Tong, Hong Kong",22.2940913,114.2369556
Choi Chuk Street,"Choi Chuk St, Chuk Un, Hong Kong",22.3436448,114.1900767
Choi Fung Path,"Choi Fung Path, Ngau Chi Wan, Hong Kong",22.334698,114.213544
Choi Ha Road,"Choi Ha Rd, Hong Kong",22.3261546,114.215924
Choi Hei Road,"Choi Hei Rd, Ngau Tau Kok, Hong Kong",22.3265509,114.2176736
Choi Hing Lane,"Choi Hing Ln, Hong Kong",22.3318407,114.2146659
Choi Hing Road,"Choi Hing Rd, Ping Shan, Hong Kong",22.3312276,114.2130617
Choi Hung Road,"Choi Hung Rd, Hong Kong",22.338279,114.201206
Choi Shek Lane,"彩盛里, Ngau Tau Kok, Hong Kong",22.330881,114.211082
Choi Shek Road,"Choi Shek Rd, Ngau Tau Kok, Hong Kong",22.3305905,114.211261
Choi Wan Road,"Choi Wan Rd, Ngau Tau Kok, Hong Kong",22.3273944,114.2141921
Choi Wing Lane,"Choi Wing Ln, Ping Shan, Hong Kong",22.3303018,114.2162376
Choi Wing Road,"Choi Wing Rd, Ping Shan, Hong Kong",22.3298126,114.2154061
Choi Yee Lane,"Choi Yee Ln, Hong Kong",22.3374104,114.2017652
Chong Fu Road,"Chong Fu Rd, Hong Kong",22.273384,114.24283
Chong Yip Street,"Chong Yip St, Kwun Tong, Hong Kong",22.3141664,114.2199424
Chui Chuk Street,"Chui Chuk St, Hong Kong",22.345812,114.1890955
Chui Hang Street,"Chui Hang St, Chai Wan, Hong Kong",22.2650731,114.2361858
Chui Yu Road,"Chui Yu Rd, Hong Kong",22.3250405,114.1600171
Chuk Hing Lane,Hong Kong,22.396428,114.109497
Chuk Kui Terrace,"Chui Kui Terrace, Hong Kong",22.2740506,114.1720011
Chuk Lin Lane,"Chuk Lin Ln, Hong Kong",22.2862883,114.1474385
Chuk On Lane,"Sing Teck Factory Building, 44 Wong Chuk Hang Rd, Hong Kong",22.248569,114.167019
Chuk Yuen Road,"Chuk Yuen Rd, Hong Kong",22.3451008,114.1895493
Chun Fai Road,"Chun Fai Rd, Tai Hang, Hong Kong",22.2734645,114.1935561
Chun Fai Terrace,"Chun Fai Terrace, Tai Hang, Hong Kong",22.2753573,114.1943448
Chun Shing Street,"Chun Shing St, Happy Valley, Hong Kong",22.2665353,114.1870663
Chun Tin Street,"Chun Tin St, Hung Hom, Hong Kong",22.310979,114.1881142
Chun Wah Road,"Chun Wah Rd, Hong Kong",22.3219584,114.2209313
Chun Wing Street,"Chun Wing St, Tai Kok Tsui, Hong Kong",22.3185452,114.1615555
Chun Yan Street,"Chun Yan St, Chuk Un, Hong Kong",22.3398855,114.1969696
Chun Yeung Street,"Chun Yeung St, North Point, Hong Kong",22.2912572,114.1978103
Chun Yi Lane,"Chun Yi Ln, Yau Ma Tei, Hong Kong",22.3135225,114.1728265
Chung Ching Street,"Chung Ching St, Sai Wan, Hong Kong",22.2874503,114.1412387
Chung Hau Street,"Chung Hau St, Hong Kong",22.3144374,114.180833
Chung Hom Kok Road,"Chung Hom Kok Rd, Chung Hom Kok, Hong Kong",22.2161156,114.2009833
Chung King Road,"Chung King Rd, Sheung Wan, Hong Kong",22.2884658,114.1495542
Chung Kong Road,"Chung Kong Rd, Sheung Wan, Hong Kong",22.288385,114.1505635
Chung Man Street,"Chung Man St, No. 12 Hill, Hong Kong",22.3149988,114.177582
Chung On Terrace,"Chung Shan Terrace, Lai Chi Kok, Hong Kong",22.344214,114.1383083
Chung Sun Street,"Chung Sun St, Ma Tau Kok, Hong Kong",22.3196727,114.1940429
Chung Wo Lane,"Chung Wo Ln, Central, Hong Kong",22.282864,114.151412
Chung Wui Street,"Chung Wui St, Tai Kok Tsui, Hong Kong",22.3225554,114.1608262
Chung Yee Street,"Chung Yee Street, No. 12 Hill, Hong Kong",22.3113871,114.1806176
Church Lane,"Church Ln, Shau Kei Wan, Hong Kong",22.2772367,114.2287944
Church Street,"2nd Floor, MSR Westpark, # 3, Church Street, Opp Church Street Metro Station, Off Bridage Road, Bengaluru, Karnataka 560001, India",12.9742599,77.6067889
Circular Pathway,"Circular Pathway, Tai Ping Shan, Hong Kong",22.2842766,114.1505422
City Garden Road,"City Garden Rd, North Point, Hong Kong",22.2906531,114.1941631
Clarence Terrace,"Clarence Terrace, Sai Wan, Hong Kong",22.2851596,114.1364452
Claymore Avenue,"Claymore Ave, Pok Fu Lam, Hong Kong",22.2592784,114.1369183
Clear Water Bay Road,"Clear Water Bay Rd, Hong Kong",22.3266395,114.2656443
Clementi Road,"Clementi Rd, Jardine's Lookout, Hong Kong",22.271235,114.1965078
Cleveland Street,"Cleveland St, Causeway Bay, Hong Kong",22.2821784,114.1856444
Cleverly Street,"Cleverly St, Hong Kong",22.2860648,114.1511727
Cliff Road,"Cliff Rd, Yau Ma Tei, Hong Kong",22.3108472,114.1717678
Cloud View Road,"Cloud View Rd, Hong Kong",22.28587,114.196572
Clovelly Path,"Clovelly Path, Mid-level, Hong Kong",22.2739854,114.1555359
Club Street,"Club St, Central, Hong Kong",22.2815167,114.161337
Cochrane Street,"Cochrane St, Central, Hong Kong",22.2829948,114.1543715
College Road,"College Rd, Kowloon Tsai, Hong Kong",22.328165,114.1840688
College View,"College View, Sai Wan, Hong Kong",22.2855211,114.1457126
Collinson Street,"Collinson St, Shek Tong Tsui, Hong Kong",22.2857984,114.132204
Comet Drive,Hong Kong,22.396428,114.109497
Comet Road,Hong Kong,22.396428,114.109497
Comfort Terrace,"Comfort Terrace, Hong Kong",22.2866296,114.1940213
Concorde Road,"Concorde Rd, Kai Tak, Hong Kong",22.3325906,114.1992345
Conduit Road,"Conduit Rd, Mid-level, Hong Kong",22.2812233,114.1477455
Connaught Place,"Connaught Pl, Central, Hong Kong",22.283398,114.1587484
Connaught Road Central,"Connaught Rd Central, Hong Kong",22.2848077,114.156487
Connaught Road West,"Connaught Rd Central, Hong Kong",22.2848077,114.156487
Consort Rise,"Consort Rise, Sandy Bay, Hong Kong",22.2703204,114.127757
Convair Drive,Hong Kong,22.396428,114.109497
Convention Avenue,"Convention Ave, Hong Kong",22.2821205,114.1736318
Cooke Street,"Cooke St, Hung Hom, Hong Kong",22.307712,114.183503
Coombe Road,"Coombe Rd, The Peak, Hong Kong",22.2681398,114.167141
Cooper Road,"Cooper Rd, Jardine's Lookout, Hong Kong",22.268037,114.191211
Cornwall Avenue,"Cornwall St, Hong Kong",22.3398036,114.1728001
Cornwall Street,"Cornwall St, Hong Kong",22.3398036,114.1728001
Coronation Terrace,"Coronation Terrace, Central, Hong Kong",22.282245,114.151726
Cotton Path,"Cotton Path, Hong Kong",22.2773036,114.1881954
Cotton Tree Drive,"Cotton Tree Dr, Hong Kong",22.2783527,114.1612846
Cox's Path,"Cox's Rd, Yau Ma Tei, Hong Kong",22.3046315,114.1734684
Cox's Road,"Cox's Rd, Yau Ma Tei, Hong Kong",22.3046315,114.1734684
Creasy Road,"Creasy Rd, Jardine's Lookout, Hong Kong",22.2695832,114.1914112
Cross Lane,"Cross Ln, Wan Chai, Hong Kong",22.2764851,114.1765384
Cross Street,"Cross St, Wan Chai, Hong Kong",22.2755437,114.1734978
Crown Terrace,"Crown Terrace, Sandy Bay, Hong Kong",22.269886,114.1267565
Cumberland Road,"Cumberland Rd, Kowloon Tong, Hong Kong",22.3300779,114.1771233
Cyberport Road,"Cyberport Rd, Telegraph Bay, Hong Kong",22.2593108,114.1326957
D'aguilar Street,"D'Aguilar St, Central, Hong Kong",22.2811484,114.1555821
Dakota Drive,"Dakota Dr, Hong Kong",22.3272556,114.1920145
David Lane,"David Ln, Sai Wan, Hong Kong",22.2858472,114.1419081
Davis Street,"Davis St, Sai Wan, Hong Kong",22.2825397,114.126799
Deep Water Bay Drive,"Deep Water Bay Dr, Deep Water Bay, Hong Kong",22.2531326,114.1835355
Deep Water Bay Road,"Deep Water Bay Rd, Hong Kong",22.2538012,114.1867275
Departures Circuit,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808
Derby Road,"Derby Rd, Kowloon Tsai, Hong Kong",22.3298001,114.1793286
Des Voeux Road Central,"Des Voeux Rd Central, Hong Kong",22.2840169,114.1561242
Des Voeux Road West,"Des Voeux Rd W, Hong Kong",22.2877569,114.1400532
Devon Road,"Devon Rd, Hong Kong",22.3390391,114.177395
Dianthus Road,"Dianthus Rd, Yau Yat Chuen, Hong Kong",22.3297434,114.1743761
Dock Street,"Dock St, Hung Hom, Hong Kong",22.306535,114.187147
Dorset Crescent,"Dorset Cres, Hong Kong",22.3386202,114.1783593
Douglas Lane,"Douglas Ln, Central, Hong Kong",22.2826972,114.1565269
Douglas Street,"Douglas St, Central, Hong Kong",22.2832459,114.1572861
Dragon Road,"Dragon Rd, Causeway Bay, Hong Kong",22.2822718,114.1929539
Dragon Terrace,"Dragon Terrace, Causeway Bay, Hong Kong",22.281333,114.1928565
Drake Street,"Drake St, Central, Hong Kong",22.2790338,114.1650041
Duddell Street,"Duddell St, Central, Hong Kong",22.2800097,114.1571907
Duke Street,"Duke St, Prince Edward, Hong Kong",22.326078,114.1752073
Dumbarton Road,"Dumbarton Rd, Kowloon Tsai, Hong Kong",22.331833,114.185541
Dunbar Road,"Dunbar Rd, Ho Man Tin, Hong Kong",22.3214439,114.1795261
Dundas Street,"Dundas St, Mong Kok, Hong Kong",22.3153623,114.1702539
Durham Road,"Durham Rd, Kowloon Tsai, Hong Kong",22.3325184,114.180392
Dyer Avenue,"Dyer Ave, Hung Hom, Hong Kong",22.3067714,114.190467
Earl Street,"Earl St, Kowloon Tsai, Hong Kong",22.3267914,114.1803704
East Embankment,Hong Kong,22.396428,114.109497
East Laguna Street,"Laguna St E, Laguna City, Hong Kong",22.3064154,114.2294329
East Point Road,"E Point Rd, Causeway Bay, Hong Kong",22.2806279,114.1846982
Eastbourne Road,"Eastbourne Rd, Beacon Hill, Hong Kong",22.3434853,114.1768869
Eastern Hospital Road,"Eastern Hospital Rd, Hong Kong",22.274525,114.189456
Eastern Road,"Eastern St, Sai Ying Pun, Hong Kong",22.2874001,114.1437559
Eastern Street,"Eastern St, Sai Ying Pun, Hong Kong",22.2874001,114.1437559
Eastern Street North,"Eastern St N, Sai Ying Pun, Hong Kong",22.2899372,114.1426868
Ede Road,"Ede Rd, Beacon Hill, Hong Kong",22.3426204,114.1776398
Edinburgh Place,"Edinburgh Pl, Central, Hong Kong",22.282891,114.161549
Electra Drive,Hong Kong,22.396428,114.109497
Electric Road,"Electric Rd, Hong Kong",22.2875767,114.1921337
Electric Street,"Electric Rd, Hong Kong",22.2875767,114.1921337
Elegance Road,"Elegance Rd, Hong Kong",22.3156678,114.2187282
Elgin Street,"Elgin St, Hong Kong",22.2817779,114.1524192
Elm Street,"Elm St, Tai Kok Tsui, Hong Kong",22.3209704,114.1626555
